,Unnamed: 0,LotFrontage,LotArea,BldgType,HouseStyle,OverallCond,YearBuilt,RoofStyle,RoofMatl,Foundation,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PoolArea,YrSold,TotalSF,TotalBathSum,SalePrice
40,40,84.0,8658,1Fam,1Story,5,1965,Gable,CompShg,CBlock,Ex,Y,3,1,6,Typ,1,2,440,0,2006,2412,2.0,160000
41,41,115.0,16905,1Fam,1Story,6,1959,Gable,CompShg,CBlock,Gd,Y,2,1,5,Typ,2,1,308,0,2007,2678,2.0,170000
42,42,60.0,9180,1Fam,SFoyer,7,1983,Gable,CompShg,CBlock,Gd,Y,2,1,5,Typ,0,2,504,0,2007,1724,2.0,144000
43,43,60.0,9200,1Fam,1Story,6,1975,Hip,CompShg,CBlock,TA,Y,3,1,5,Typ,0,1,308,0,2008,1876,2.0,130250
44,44,70.0,7945,1Fam,1Story,6,1959,Gable,CompShg,CBlock,Ex,Y,3,1,6,Typ,0,1,300,0,2006,2300,2.0,141000
45,45,61.0,7658,TwnhsE,1Story,5,2005,Hip,CompShg,PConc,Ex,Y,2,1,6,Typ,1,2,576,0,2010,3504,3.0,319900
46,46,48.0,12822,1Fam,1.5Fin,5,2003,Gable,CompShg,PConc,Ex,Y,1,1,6,Typ,1,2,670,0,2009,3583,2.5,239686
47,47,84.0,11096,1Fam,1Story,5,2006,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,3,826,0,2007,3312,2.0,249700
48,48,33.0,4456,2fmCon,2Story,5,1920,Gable,CompShg,BrkTil,Gd,Y,2,3,8,Typ,0,0,0,0,2009,2188,2.0,113000
49,49,66.0,7742,1Fam,1Story,7,1966,Gable,CompShg,CBlock,Ex,Y,3,1,6,Typ,0,1,386,0,2007,1910,2.0,127000
50,50,60.0,13869,1Fam,2Story,6,1997,Gable,CompShg,PConc,Gd,Y,3,1,6,Typ,0,2,388,0,2007,2264,2.5,177000
51,51,52.0,6240,1Fam,1.5Fin,6,1934,Gable,CompShg,PConc,TA,Y,3,1,6,Typ,1,2,528,0,2006,1632,1.0,114500
52,52,110.0,8472,Duplex,1Story,5,1963,Gable,CompShg,CBlock,TA,N,2,1,5,Typ,0,2,516,0,2010,1632,2.0,110000
53,53,68.0,50271,1Fam,1Story,5,1981,Gable,WdShngl,CBlock,Gd,Y,0,1,5,Typ,1,3,894,0,2006,3684,2.5,385000
54,54,60.0,7134,1Fam,SLvl,5,1955,Gable,CompShg,CBlock,TA,Y,3,1,6,Min1,1,2,572,0,2007,1744,1.0,130000
55,55,100.0,10175,1Fam,1Story,5,1964,Gable,CompShg,CBlock,Gd,Y,3,1,7,Typ,1,2,576,0,2008,2850,2.0,180500
56,56,24.0,2645,Twnhs,2Story,5,1999,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,480,0,2009,2709,3.5,172500
57,57,89.0,11645,1Fam,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,565,0,2006,2580,2.5,196500
58,58,66.0,13682,1Fam,2Story,5,2006,Hip,CompShg,PConc,Ex,Y,3,1,10,Typ,1,3,641,0,2006,4355,3.5,438780
59,59,60.0,7200,1Fam,1Story,7,1972,Gable,CompShg,CBlock,Ex,Y,2,1,4,Typ,0,1,352,0,2008,1560,1.0,124900
60,60,63.0,13072,1Fam,1Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,5,Typ,0,2,576,0,2006,2316,2.5,158000
61,61,60.0,7200,1Fam,2.5Unf,7,1920,Gable,CompShg,BrkTil,TA,N,3,1,6,Typ,0,1,288,0,2007,1641,1.0,101000
62,62,44.0,6442,TwnhsE,1Story,5,2006,Gable,CompShg,PConc,Ex,Y,2,1,6,Typ,1,2,484,0,2007,2740,2.0,202500
63,63,50.0,10300,1Fam,2Story,6,1921,Gable,CompShg,BrkTil,Gd,Y,3,1,9,Typ,0,2,480,0,2010,2286,2.0,140000
64,64,60.0,9375,1Fam,2Story,5,1997,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,0,2,645,0,2009,3091,3.5,219500
65,65,76.0,9591,1Fam,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,4,1,9,Typ,1,3,852,0,2007,3616,2.5,317000
66,66,60.0,19900,1Fam,1Story,5,1970,Gable,CompShg,CBlock,TA,Y,3,1,7,Min1,1,2,576,0,2010,4154,3.0,180000
67,67,72.0,10665,1Fam,1Story,5,2003,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,558,0,2007,2932,3.0,226000
68,68,47.0,4608,1Fam,1Story,6,1945,Gable,CompShg,CBlock,TA,Y,2,1,4,Typ,0,1,220,0,2010,1494,1.0,80000
69,69,81.0,15593,1Fam,1.5Fin,4,1953,Gable,CompShg,CBlock,TA,Y,3,1,7,Typ,1,2,667,0,2006,3591,2.0,225000
70,70,95.0,13651,1Fam,1Story,6,1973,Gable,CompShg,CBlock,Ex,Y,3,1,8,Typ,2,2,516,0,2007,4446,3.0,244000
71,71,69.0,7599,1Fam,1Story,6,1982,Gable,CompShg,CBlock,TA,Y,2,1,4,Typ,0,2,360,0,2007,1690,2.0,129500
72,72,74.0,10141,1Fam,2Story,5,1998,Gable,CompShg,PConc,Gd,Y,3,1,7,Typ,1,2,427,0,2009,2550,2.5,185000
73,73,85.0,10200,1Fam,1Story,7,1954,Gable,CompShg,CBlock,Gd,Y,3,1,6,Typ,0,2,490,0,2010,2172,2.0,144900
74,74,60.0,5790,1Fam,2Story,6,1915,Gambrel,CompShg,CBlock,Gd,N,3,2,8,Typ,0,1,379,0,2010,2445,2.0,107400
75,75,21.0,1596,Twnhs,SLvl,5,1973,Gable,CompShg,CBlock,TA,Y,2,1,5,Typ,0,1,297,0,2009,1450,2.0,91000
76,76,60.0,8475,1Fam,1Story,7,1956,Gable,CompShg,CBlock,Ex,Y,2,1,4,Typ,0,1,283,0,2008,1904,1.0,135750
77,77,50.0,8635,1Fam,1.5Fin,5,1948,Gable,CompShg,CBlock,TA,Y,2,1,6,Min1,0,1,240,0,2008,1957,2.0,127000
78,78,72.0,10778,Duplex,1Story,5,1968,Hip,CompShg,CBlock,TA,N,4,2,8,Typ,0,0,0,0,2010,3536,2.0,136500
79,79,60.0,10440,1Fam,2Story,6,1910,Gable,CompShg,PConc,Gd,Y,2,1,5,Typ,0,2,440,0,2009,1670,1.5,110000
80,80,100.0,13000,1Fam,2Story,6,1968,Gable,CompShg,CBlock,TA,Y,4,1,8,Typ,1,1,509,0,2009,3038,2.5,193500
81,81,32.0,4500,TwnhsE,1Story,5,1998,Hip,CompShg,PConc,Ex,Y,2,1,5,Typ,0,2,405,0,2006,2574,3.0,153500
82,82,78.0,10206,1Fam,1Story,5,2007,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,1,3,758,0,2008,3126,2.0,245000
83,83,80.0,8892,1Fam,1Story,5,1960,Gable,CompShg,CBlock,Gd,Y,3,1,6,Typ,0,2,461,0,2007,2130,1.5,126500
84,84,60.0,8530,1Fam,SLvl,5,1995,Gable,CompShg,PConc,Gd,Y,3,1,7,Typ,1,2,400,0,2009,1858,2.5,168500
85,85,121.0,16059,1Fam,2Story,5,1991,Hip,CompShg,CBlock,Ex,Y,4,1,9,Typ,1,2,462,0,2006,3705,2.5,260000
86,86,122.0,11911,1Fam,2Story,5,2005,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,1,2,400,0,2009,2244,2.5,174000
87,87,40.0,3951,TwnhsE,2Story,5,2009,Gable,CompShg,PConc,Ex,Y,2,1,4,Typ,0,2,528,0,2009,1836,2.5,164500
88,88,105.0,8470,1Fam,1.5Fin,2,1915,Hip,CompShg,CBlock,TA,N,2,1,6,Typ,0,0,0,0,2009,2026,1.0,85000
89,89,60.0,8070,1Fam,1Story,5,1994,Gable,CompShg,PConc,Ex,Y,3,1,5,Typ,0,0,0,0,2007,1980,2.0,123600
90,90,60.0,7200,1Fam,1Story,5,1950,Gable,CompShg,Slab,TA,Y,2,1,4,Typ,0,2,420,0,2006,1040,1.0,109900
91,91,85.0,8500,1Fam,1Story,3,1961,Hip,CompShg,CBlock,TA,Y,2,1,6,Typ,0,2,480,0,2006,2470,1.0,98600
92,92,80.0,13360,1Fam,1Story,7,1921,Gable,CompShg,BrkTil,Ex,Y,2,1,5,Typ,0,2,432,0,2009,1840,2.0,163500
93,93,60.0,7200,2fmCon,2.5Unf,6,1910,Hip,CompShg,BrkTil,Ex,N,4,2,9,Typ,1,2,506,0,2007,3505,2.5,133900
94,94,69.0,9337,1Fam,2Story,5,1997,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,684,0,2007,2610,3.5,204750
95,95,60.0,9765,1Fam,2Story,8,1993,Gable,CompShg,PConc,Gd,Y,3,1,6,Typ,1,2,420,0,2009,2150,2.5,185000
96,96,78.0,10264,1Fam,1Story,5,1999,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,2,472,0,2006,3176,2.0,214000
97,97,73.0,10921,1Fam,1Story,5,1965,Hip,CompShg,CBlock,TA,Y,3,1,6,Typ,0,1,432,0,2007,1920,2.0,94750
98,98,85.0,10625,1Fam,1Story,5,1920,Gable,CompShg,BrkTil,Fa,N,2,1,5,Typ,0,1,366,0,2010,1293,1.0,83000
99,99,77.0,9320,1Fam,1Story,5,1959,Gable,CompShg,CBlock,Fa,Y,3,1,6,Typ,0,0,0,0,2010,2175,2.5,128950
100,100,60.0,10603,1Fam,1Story,7,1977,Gable,CompShg,PConc,Gd,Y,3,1,6,Typ,2,2,480,0,2010,3220,3.0,205000
101,101,77.0,9206,1Fam,2Story,5,1985,Gable,CompShg,CBlock,TA,Y,3,1,7,Typ,1,2,476,0,2010,2473,2.5,178000
102,102,64.0,7018,Duplex,1Story,5,1979,Gable,CompShg,Slab,TA,Y,4,2,8,Typ,0,2,410,0,2009,1535,2.0,118964
103,103,94.0,10402,1Fam,1Story,5,2009,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,3,740,0,2010,2452,2.0,198900
104,104,60.0,7758,1Fam,1.5Fin,4,1931,Gable,CompShg,PConc,Ex,Y,4,1,7,Typ,2,1,240,0,2007,2858,1.5,169500
105,105,75.0,9375,1Fam,2Story,5,2003,Hip,CompShg,PConc,Ex,Y,3,1,9,Typ,1,2,648,0,2008,3045,2.5,250000
106,106,60.0,10800,1Fam,1Story,7,1885,Mansard,CompShg,BrkTil,Gd,Y,2,1,6,Typ,0,1,273,0,2007,1688,1.0,100000
107,107,50.0,6000,1Fam,1Story,5,1948,Gable,CompShg,CBlock,Ex,Y,2,1,5,Typ,0,1,250,0,2008,1578,1.0,115000
108,108,85.0,8500,1Fam,1.5Fin,7,1919,Gable,CompShg,CBlock,TA,N,3,1,7,Typ,0,0,0,0,2007,2310,2.0,115000
109,109,105.0,11751,1Fam,1Story,6,1977,Hip,CompShg,CBlock,Ex,Y,3,1,7,Typ,1,2,546,0,2010,3688,2.0,190000
110,110,75.0,9525,1Fam,1.5Fin,4,1954,Gable,CompShg,CBlock,Gd,Y,4,1,7,Typ,0,1,325,0,2006,2849,2.0,136900
111,111,60.0,7750,1Fam,SLvl,5,2000,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,400,0,2010,1814,2.5,180000
112,112,77.0,9965,1Fam,2Story,5,2007,Gable,CompShg,PConc,Ex,Y,4,1,10,Typ,1,3,792,0,2007,3960,3.5,383970
113,113,60.0,21000,1Fam,1Story,5,1953,Hip,CompShg,CBlock,TA,Y,3,1,7,Typ,2,2,450,0,2007,4068,3.0,217000
114,114,61.0,7259,1Fam,2Story,8,1945,Gambrel,CompShg,CBlock,Ex,Y,3,1,9,Typ,1,1,180,0,2007,3348,3.5,259500
115,115,34.0,3230,TwnhsE,2Story,5,1999,Gable,CompShg,PConc,Gd,Y,2,1,5,Typ,1,2,440,0,2007,2187,2.5,176000
116,116,60.0,11616,1Fam,1Story,5,1962,Gable,CompShg,CBlock,TA,Y,3,1,6,Typ,1,1,288,0,2009,2184,1.5,139000
117,117,74.0,8536,1Fam,1Story,5,2006,Gable,CompShg,PConc,Gd,Y,2,1,5,Typ,0,2,430,0,2007,2250,1.5,155000
118,118,90.0,12376,1Fam,2Story,5,1990,Hip,CompShg,PConc,Gd,Y,5,1,11,Typ,2,3,594,0,2010,4895,4.0,320000
119,119,65.0,8461,1Fam,2Story,5,2005,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,1,2,390,0,2006,2184,2.5,163990
120,120,60.0,21453,1Fam,SLvl,5,1969,Flat,Metal,CBlock,Ex,Y,1,1,4,Typ,2,2,540,0,2006,1926,2.0,180000
121,121,50.0,6060,1Fam,1.5Fin,5,1939,Gable,CompShg,PConc,Gd,Y,3,1,4,Typ,0,1,264,0,2007,1855,1.0,100000
122,122,75.0,9464,1Fam,1Story,7,1958,Hip,CompShg,CBlock,Gd,Y,3,1,5,Typ,0,1,288,0,2008,2160,1.0,136000
123,123,55.0,7892,TwnhsE,1Story,5,1993,Gable,CompShg,PConc,Ex,Y,2,1,5,Typ,0,2,530,0,2008,2398,2.0,153900
124,124,48.0,17043,1Fam,1Story,5,1979,Gable,CompShg,CBlock,TA,Y,3,1,7,Typ,1,2,435,0,2009,2948,2.0,181000
125,125,60.0,6780,2fmCon,1.5Fin,8,1935,Gable,CompShg,CBlock,Gd,N,2,1,5,Typ,0,0,0,0,2006,1040,2.0,84500
126,126,60.0,4928,TwnhsE,1Story,5,1976,Gable,CompShg,CBlock,TA,Y,2,1,5,Typ,1,2,440,0,2007,2036,2.0,128000
127,127,55.0,4388,1Fam,1.5Unf,7,1930,Gable,CompShg,BrkTil,Ex,Y,3,1,5,Typ,1,0,0,0,2007,1512,1.0,87000
128,128,69.0,7590,1Fam,2Story,5,1966,Gable,CompShg,CBlock,TA,Y,3,1,6,Typ,1,2,453,0,2006,2008,1.5,155000
129,129,69.0,8973,1Fam,1Story,7,1958,Gable,CompShg,CBlock,TA,Y,3,1,6,Typ,0,2,750,0,2006,2061,2.0,150000
130,130,88.0,14200,1Fam,2Story,6,1966,Gable,CompShg,CBlock,Ex,Y,4,1,8,Typ,2,2,487,0,2006,3081,2.5,226000
131,131,60.0,12224,1Fam,2Story,5,2000,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,390,0,2009,3046,3.5,244000
132,132,75.0,7388,1Fam,1Story,6,1959,Gable,CompShg,CBlock,Gd,Y,3,1,7,Typ,0,2,624,0,2007,2390,2.0,150750
133,133,60.0,6853,1Fam,1Story,5,2001,Gable,CompShg,PConc,Ex,Y,2,1,6,Typ,0,2,471,0,2009,2563,3.0,220000
134,134,78.0,10335,1Fam,1Story,6,1968,Gable,CompShg,CBlock,Gd,Y,3,1,7,Min1,1,2,440,0,2006,3182,2.5,180000
135,135,80.0,10400,1Fam,1Story,6,1970,Hip,CompShg,PConc,Gd,Y,3,1,7,Typ,1,2,530,0,2008,2986,2.0,174000
136,136,60.0,10355,1Fam,1Story,5,1967,Gable,CompShg,CBlock,TA,Y,3,1,5,Typ,1,1,318,0,2007,2428,2.0,143000
137,137,82.0,11070,Duplex,1Story,5,1988,Gable,CompShg,CBlock,Gd,Y,5,2,9,Typ,0,3,766,0,2006,3866,3.0,171000
138,138,73.0,9066,1Fam,2Story,5,1999,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,2,3,660,0,2008,2856,2.5,230000
139,139,65.0,15426,1Fam,2Story,5,1997,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,470,0,2009,2692,3.5,231500
140,140,70.0,10500,1Fam,1Story,5,1971,Gable,CompShg,CBlock,TA,Y,3,1,5,Typ,1,0,0,0,2010,1728,1.0,115000
141,141,78.0,11645,1Fam,1Story,5,2005,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,660,0,2006,3468,3.0,260000
142,142,71.0,8520,1Fam,1.5Fin,4,1952,Gable,CompShg,CBlock,Fa,Y,4,1,6,Typ,0,2,720,0,2010,2295,2.0,166000
143,143,78.0,10335,1Fam,1Story,5,1999,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,2,577,0,2009,2991,3.0,204000
144,144,70.0,9100,Duplex,1Story,5,1963,Gable,CompShg,CBlock,TA,Y,6,2,10,Typ,0,2,504,0,2006,3456,3.0,125000
145,145,24.0,2522,Twnhs,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,7,Maj1,0,2,380,0,2006,2679,2.0,130000
146,146,51.0,6120,1Fam,1Story,7,1931,Gable,CompShg,BrkTil,TA,Y,2,1,5,Typ,0,1,180,0,2009,1590,2.0,105000
147,147,60.0,9505,1Fam,2Story,5,2001,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,1,2,434,0,2010,2919,2.5,222500
148,148,63.0,7500,1Fam,1Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,0,0,0,2008,2160,2.0,141000
149,149,60.0,6240,1Fam,1.5Fin,4,1936,Gable,CompShg,BrkTil,Gd,Y,3,1,7,Typ,0,1,240,0,2006,2240,1.0,115000
150,150,120.0,10356,1Fam,1Story,6,1975,Gable,CompShg,CBlock,TA,Y,3,1,5,Typ,0,2,440,0,2007,1938,1.5,122000
151,151,107.0,13891,1Fam,1Story,5,2007,Hip,CompShg,PConc,Ex,Y,2,1,6,Typ,1,3,866,0,2008,3420,3.0,372402
152,152,60.0,14803,1Fam,2Story,5,1971,Gable,CompShg,CBlock,Gd,Y,4,1,8,Typ,1,2,495,0,2006,2818,2.5,190000
153,153,60.0,13500,1Fam,1Story,7,1960,Flat,CompShg,CBlock,Gd,Y,1,1,4,Typ,1,2,564,0,2008,2854,2.0,235000
154,154,84.0,11340,1Fam,1Story,5,1923,Gable,CompShg,BrkTil,TA,Y,4,1,7,Typ,0,1,312,0,2006,2400,1.0,125000
155,155,60.0,9600,1Fam,1.5Fin,5,1924,Gable,CompShg,BrkTil,Fa,N,2,1,5,Typ,0,0,0,0,2008,1668,1.0,79000
156,156,60.0,7200,1Fam,1Story,7,1950,Hip,CompShg,CBlock,TA,Y,2,1,5,Typ,0,2,625,0,2006,1040,1.0,109500
157,157,92.0,12003,1Fam,2Story,5,2009,Gable,CompShg,PConc,Ex,Y,4,1,8,Typ,1,3,680,0,2010,2742,2.5,269500
158,158,100.0,12552,1Fam,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,1,2,678,0,2010,2938,2.5,254900
159,159,134.0,19378,1Fam,2Story,5,2005,Gable,CompShg,PConc,Ex,Y,4,1,9,Typ,1,2,576,0,2006,3854,3.5,320000
160,160,60.0,11120,1Fam,1Story,6,1984,Gable,CompShg,PConc,TA,Y,3,1,6,Typ,0,2,516,0,2008,2464,2.0,162500
161,161,110.0,13688,1Fam,2Story,5,2003,Gable,CompShg,PConc,Ex,Y,3,1,10,Typ,2,3,726,0,2008,4240,3.5,412500
162,162,95.0,12182,1Fam,1Story,5,2005,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,532,0,2010,3082,2.0,220000
163,163,55.0,5500,1Fam,1.5Unf,6,1956,Gable,CompShg,CBlock,Ex,Y,1,1,4,Typ,0,0,0,0,2007,1764,1.0,103200
164,164,40.0,5400,1Fam,1Story,7,1926,Gable,CompShg,BrkTil,Gd,Y,3,1,5,Typ,0,1,216,0,2007,2765,2.0,152000
165,165,62.0,10106,2fmCon,1.5Fin,7,1940,Gable,CompShg,BrkTil,Gd,Y,4,2,6,Typ,0,0,0,0,2008,1999,3.0,127500
166,166,60.0,10708,1Fam,1Story,5,1955,Hip,CompShg,CBlock,Ex,Y,2,1,7,Typ,3,1,303,0,2009,3484,2.0,190000
167,167,86.0,10562,1Fam,2Story,5,2007,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,1,3,789,0,2007,3743,2.5,325624
168,168,62.0,8244,1Fam,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,440,0,2007,2560,2.5,183500
169,169,60.0,16669,1Fam,1Story,6,1981,Hip,WdShake,CBlock,TA,Y,2,1,6,Typ,1,2,511,0,2006,3393,2.5,228000
170,170,60.0,12358,1Fam,1.5Fin,6,1941,Gable,CompShg,CBlock,TA,Y,2,1,7,Typ,0,2,660,0,2007,1574,1.5,128500
171,171,141.0,31770,1Fam,1Story,5,1960,Hip,CompShg,CBlock,Fa,Y,3,1,7,Typ,2,2,528,0,2010,2736,2.0,215000
172,172,44.0,5306,TwnhsE,2Story,7,1987,Gable,CompShg,PConc,Gd,Y,2,1,5,Typ,1,2,504,0,2006,2831,3.0,239000
173,173,80.0,10197,1Fam,1Story,5,1961,Gable,CompShg,CBlock,TA,Y,3,1,6,Typ,1,2,504,0,2008,2724,2.5,163000
174,174,47.0,12416,1Fam,1Story,5,1986,Gable,CompShg,CBlock,TA,Y,3,1,7,Min2,1,2,616,0,2008,3257,3.0,184000
175,175,84.0,12615,1Fam,1Story,7,1950,Gable,CompShg,CBlock,TA,Y,4,1,7,Typ,1,2,576,0,2007,3360,3.0,243000
176,176,97.0,10029,1Fam,2Story,5,1988,Gable,CompShg,PConc,TA,Y,4,1,8,Typ,1,2,521,0,2007,3211,3.0,211000
