,Unnamed: 0,LotFrontage,LotArea,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Foundation,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PoolArea,TotalSF,TotalBathSum,SalePrice,AgeOfHouseSold
120,120,60.0,21453,0,7,5,0,3,1,0,1,1,1,4,6,2,2,540,0,1926,2.0,180000,37
121,121,50.0,6060,0,0,5,1,1,2,2,1,3,1,4,6,0,1,264,0,1855,1.0,100000,68
122,122,75.0,9464,0,2,7,3,1,1,2,1,3,1,5,6,0,1,288,0,2160,1.0,136000,50
123,123,55.0,7892,4,2,5,1,1,2,0,1,2,1,5,6,0,2,530,0,2398,2.0,153900,15
124,124,48.0,17043,0,2,5,1,1,1,4,1,3,1,7,6,1,2,435,0,2948,2.0,181000,30
125,125,60.0,6780,1,0,8,1,1,1,2,0,2,1,5,6,0,0,0,0,1040,2.0,84500,71
126,126,60.0,4928,4,2,5,1,1,1,4,1,2,1,5,6,1,2,440,0,2036,2.0,128000,31
127,127,55.0,4388,0,1,7,1,1,0,0,1,3,1,5,6,1,0,0,0,1512,1.0,87000,77
128,128,69.0,7590,0,5,5,1,1,1,4,1,3,1,6,6,1,2,453,0,2008,1.5,155000,40
129,129,69.0,8973,0,2,7,1,1,1,4,1,3,1,6,6,0,2,750,0,2061,2.0,150000,48
130,130,88.0,14200,0,5,6,1,1,1,0,1,4,1,8,6,2,2,487,0,3081,2.5,226000,40
131,131,60.0,12224,0,5,5,1,1,2,0,1,3,1,7,6,1,2,390,0,3046,3.5,244000,9
132,132,75.0,7388,0,2,6,1,1,1,2,1,3,1,7,6,0,2,624,0,2390,2.0,150750,48
133,133,60.0,6853,0,2,5,1,1,2,0,1,2,1,6,6,0,2,471,0,2563,3.0,220000,8
134,134,78.0,10335,0,2,6,1,1,1,2,1,3,1,7,2,1,2,440,0,3182,2.5,180000,38
135,135,80.0,10400,0,2,6,3,1,2,2,1,3,1,7,6,1,2,530,0,2986,2.0,174000,38
136,136,60.0,10355,0,2,5,1,1,1,4,1,3,1,5,6,1,1,318,0,2428,2.0,143000,40
137,137,82.0,11070,2,2,5,1,1,1,2,1,5,2,9,6,0,3,766,0,3866,3.0,171000,18
138,138,73.0,9066,0,5,5,1,1,2,0,1,3,1,7,6,2,3,660,0,2856,2.5,230000,9
139,139,65.0,15426,0,5,5,1,1,2,0,1,3,1,7,6,0,2,470,0,2692,3.5,231500,12
140,140,70.0,10500,0,2,5,1,1,1,4,1,3,1,5,6,1,0,0,0,1728,1.0,115000,39
141,141,78.0,11645,0,2,5,1,1,2,0,1,3,1,7,6,0,2,660,0,3468,3.0,260000,1
142,142,71.0,8520,0,0,4,1,1,1,1,1,4,1,6,6,0,2,720,0,2295,2.0,166000,58
143,143,78.0,10335,0,2,5,1,1,2,0,1,3,1,6,6,0,2,577,0,2991,3.0,204000,10
144,144,70.0,9100,2,2,5,1,1,1,4,1,6,2,10,6,0,2,504,0,3456,3.0,125000,43
145,145,24.0,2522,3,5,5,1,1,2,0,1,3,1,7,0,0,2,380,0,2679,2.0,130000,2
146,146,51.0,6120,0,2,7,1,1,0,4,1,2,1,5,6,0,1,180,0,1590,2.0,105000,78
147,147,60.0,9505,0,5,5,1,1,2,0,1,3,1,8,6,1,2,434,0,2919,2.5,222500,9
148,148,63.0,7500,0,2,5,1,1,2,0,1,3,1,6,6,0,0,0,0,2160,2.0,141000,4
149,149,60.0,6240,0,0,4,1,1,0,2,1,3,1,7,6,0,1,240,0,2240,1.0,115000,70
150,150,120.0,10356,0,2,6,1,1,1,4,1,3,1,5,6,0,2,440,0,1938,1.5,122000,32
151,151,107.0,13891,0,2,5,3,1,2,0,1,2,1,6,6,1,3,866,0,3420,3.0,372402,1
152,152,60.0,14803,0,5,5,1,1,1,2,1,4,1,8,6,1,2,495,0,2818,2.5,190000,35
153,153,60.0,13500,0,2,7,0,1,1,2,1,1,1,4,6,1,2,564,0,2854,2.0,235000,48
154,154,84.0,11340,0,2,5,1,1,0,4,1,4,1,7,6,0,1,312,0,2400,1.0,125000,83
155,155,60.0,9600,0,0,5,1,1,0,1,0,2,1,5,6,0,0,0,0,1668,1.0,79000,84
156,156,60.0,7200,0,2,7,3,1,1,4,1,2,1,5,6,0,2,625,0,1040,1.0,109500,56
157,157,92.0,12003,0,5,5,1,1,2,0,1,4,1,8,6,1,3,680,0,2742,2.5,269500,1
158,158,100.0,12552,0,5,5,1,1,2,0,1,3,1,8,6,1,2,678,0,2938,2.5,254900,6
159,159,134.0,19378,0,5,5,1,1,2,0,1,4,1,9,6,1,2,576,0,3854,3.5,320000,1
160,160,60.0,11120,0,2,6,1,1,2,4,1,3,1,6,6,0,2,516,0,2464,2.0,162500,24
161,161,110.0,13688,0,5,5,1,1,2,0,1,3,1,10,6,2,3,726,0,4240,3.5,412500,5
162,162,95.0,12182,0,2,5,1,1,2,0,1,3,1,7,6,1,2,532,0,3082,2.0,220000,5
163,163,55.0,5500,0,1,6,1,1,1,0,1,1,1,4,6,0,0,0,0,1764,1.0,103200,51
164,164,40.0,5400,0,2,7,1,1,0,2,1,3,1,5,6,0,1,216,0,2765,2.0,152000,81
165,165,62.0,10106,1,0,7,1,1,0,2,1,4,2,6,6,0,0,0,0,1999,3.0,127500,68
166,166,60.0,10708,0,2,5,3,1,1,0,1,2,1,7,6,3,1,303,0,3484,2.0,190000,54
167,167,86.0,10562,0,5,5,1,1,2,0,1,3,1,8,6,1,3,789,0,3743,2.5,325624,0
168,168,62.0,8244,0,5,5,1,1,2,0,1,3,1,7,6,1,2,440,0,2560,2.5,183500,3
169,169,60.0,16669,0,2,6,3,6,1,4,1,2,1,6,6,1,2,511,0,3393,2.5,228000,25
170,170,60.0,12358,0,0,6,1,1,1,4,1,2,1,7,6,0,2,660,0,1574,1.5,128500,66
171,171,141.0,31770,0,2,5,3,1,1,1,1,3,1,7,6,2,2,528,0,2736,2.0,215000,50
172,172,44.0,5306,4,5,7,1,1,2,2,1,2,1,5,6,1,2,504,0,2831,3.0,239000,19
173,173,80.0,10197,0,2,5,1,1,1,4,1,3,1,6,6,1,2,504,0,2724,2.5,163000,47
174,174,47.0,12416,0,2,5,1,1,1,4,1,3,1,7,3,1,2,616,0,3257,3.0,184000,22
175,175,84.0,12615,0,2,7,1,1,1,4,1,4,1,7,6,1,2,576,0,3360,3.0,243000,57
176,176,97.0,10029,0,5,5,1,1,2,4,1,4,1,8,6,1,2,521,0,3211,3.0,211000,19
177,177,60.0,13650,0,0,5,1,1,1,0,1,4,1,8,6,1,2,451,0,2972,3.0,172500,48
178,178,63.0,17423,0,2,5,3,1,2,0,1,1,1,9,6,1,3,1166,0,4450,3.0,501837,1
179,179,60.0,8520,0,2,6,1,1,1,4,1,2,1,5,6,0,2,480,0,1936,1.0,100000,84
180,180,60.0,2117,3,5,5,1,1,2,0,1,3,1,5,6,1,2,440,0,2281,2.5,177000,7
181,181,54.0,7588,0,5,6,1,1,0,2,1,4,1,9,6,1,1,216,0,2595,1.5,200100,86
182,182,60.0,9060,0,2,6,3,1,2,0,1,3,1,7,6,1,1,252,0,1340,1.0,120000,50
183,183,63.0,11426,0,0,5,1,1,2,0,1,3,1,6,4,0,2,484,0,3444,2.5,200000,5
184,184,92.0,7438,0,0,8,1,1,2,2,1,3,1,5,6,0,2,576,0,1756,1.0,127000,98
185,185,90.0,22950,0,3,9,1,7,0,0,1,4,1,12,6,2,3,840,0,4143,2.5,475000,114
186,186,60.0,9947,0,7,5,1,1,2,0,1,3,1,6,6,0,2,497,0,2405,3.0,173000,19
187,187,60.0,10410,0,0,7,1,1,1,0,1,3,1,8,3,0,1,180,0,2172,2.5,135000,93
188,188,64.0,7018,2,6,5,1,1,1,4,1,2,2,6,6,2,2,528,0,2310,3.0,153337,30
189,189,41.0,4923,4,2,5,1,1,2,0,1,0,1,5,6,1,2,682,0,3186,2.5,286000,7
190,190,70.0,10570,0,5,8,3,1,1,4,1,3,1,10,0,2,2,440,0,3580,2.5,315000,75
191,191,60.0,7472,0,5,9,1,1,1,2,1,4,1,7,6,0,2,484,0,2204,2.5,184000,35
192,192,68.0,9017,0,2,5,1,1,2,0,1,3,1,6,6,0,2,666,0,2862,3.0,192000,10
193,193,24.0,2522,3,5,5,1,1,2,0,1,3,1,7,0,0,2,380,0,2679,2.0,130000,2
194,194,60.0,7180,0,2,7,3,1,1,4,1,3,1,5,6,0,1,352,0,1728,1.0,127000,36
195,195,24.0,2280,3,5,6,1,1,1,4,1,3,1,7,6,1,2,440,0,2311,2.5,148500,33
196,196,79.0,9416,0,2,5,3,1,2,0,1,3,1,8,6,1,3,786,0,3452,3.0,311872,0
197,197,174.0,25419,0,5,4,1,1,2,2,1,4,1,8,6,1,2,795,512,4080,3.5,235000,88
198,198,92.0,5520,0,3,6,1,1,1,0,1,5,1,8,6,0,0,0,0,2613,1.0,104000,97
199,199,76.0,9591,0,2,5,3,1,2,0,1,3,1,7,6,1,3,856,0,3426,3.0,274900,5
200,200,80.0,8546,0,2,5,1,1,2,0,1,2,1,5,6,0,2,440,0,2242,2.0,140000,7
201,201,75.0,10125,0,2,6,1,1,1,4,1,3,1,6,6,2,2,473,0,2475,2.5,171500,31
202,202,50.0,7000,0,0,6,1,1,0,2,1,2,1,6,2,0,1,398,0,1927,2.0,112000,82
203,203,60.0,4438,4,2,5,1,1,2,0,1,1,1,3,6,1,2,420,0,1696,2.0,149000,4
204,204,50.0,3500,0,0,7,1,1,1,4,1,2,1,5,6,0,1,240,0,2004,1.5,110000,62
205,205,99.0,11851,0,2,5,1,1,2,0,1,3,1,5,6,0,2,500,0,2866,2.0,180500,19
206,206,40.0,13673,0,2,5,1,1,1,4,1,3,1,8,3,1,1,349,0,2836,1.5,143900,45
207,207,60.0,12493,0,2,5,1,1,2,4,1,3,1,6,6,1,1,312,0,2200,2.0,141000,48
208,208,60.0,14364,0,5,5,1,1,1,0,1,3,1,7,6,1,2,454,0,3219,3.5,277000,19
209,209,75.0,8250,0,2,7,3,1,1,0,1,3,1,6,6,0,2,504,0,2184,2.0,145000,44
210,210,67.0,5604,0,2,6,1,1,1,4,0,2,1,5,6,0,0,0,0,1728,2.0,98000,83
211,211,83.0,10420,0,2,5,1,1,2,0,1,3,1,6,6,0,2,460,0,2424,2.0,186000,1
212,212,72.0,8640,0,5,5,1,1,2,0,1,3,1,7,6,1,2,644,0,2752,3.5,252678,0
213,213,43.0,13568,0,2,5,1,1,2,0,1,3,1,5,6,0,2,576,0,1980,1.5,156000,11
214,214,60.0,10900,0,5,7,1,1,1,0,1,3,1,6,6,0,1,299,0,2081,1.5,161750,33
215,215,72.0,10011,0,2,6,1,1,1,4,1,2,1,6,2,1,1,447,0,2306,1.5,134450,49
216,216,65.0,8450,0,2,5,1,1,2,0,1,3,1,8,6,0,2,484,0,2872,3.0,210000,4
217,217,57.0,9906,0,5,4,1,1,1,1,0,3,1,8,6,0,1,210,0,2014,1.0,107000,81
218,218,60.0,15660,0,0,9,1,1,1,0,1,3,1,8,6,2,2,431,0,2752,2.0,311500,69
219,219,43.0,3010,4,2,5,1,1,2,0,1,2,1,5,6,0,2,438,0,2496,2.0,167240,1
220,220,73.0,8990,0,2,5,1,1,2,0,1,2,1,5,6,0,2,675,0,2996,2.0,204900,0
221,221,60.0,8068,0,5,5,1,1,2,0,1,4,1,8,6,1,2,390,0,3277,2.5,200000,7
222,222,85.0,11475,0,5,6,1,1,1,4,1,3,1,6,6,1,2,434,0,2265,3.5,179900,31
223,223,70.0,10500,0,2,6,1,1,1,2,1,2,1,4,6,0,2,576,0,1728,1.0,97000,38
224,224,103.0,13472,0,2,5,3,1,2,0,1,3,1,8,6,1,3,968,0,4784,2.0,386250,6
225,225,21.0,1680,3,5,5,1,1,1,4,1,3,1,6,6,0,1,280,0,1932,2.5,112000,38
226,226,82.0,9950,0,5,5,1,1,2,0,1,4,1,9,6,1,3,721,0,3723,2.5,290000,12
227,227,21.0,1869,3,5,6,1,1,1,4,1,2,1,5,6,0,1,280,0,1470,1.5,106000,38
228,228,70.0,8521,0,2,5,1,1,1,4,1,3,1,5,6,1,1,336,0,1824,1.0,125000,43
229,229,43.0,3182,4,2,5,1,1,2,0,1,2,1,7,6,1,2,430,0,2928,2.0,192500,4
230,230,73.0,8760,0,2,6,3,1,1,4,1,3,1,6,6,0,1,312,0,2388,2.0,148000,51
231,231,174.0,15138,0,5,5,1,1,2,0,1,4,1,9,6,1,3,810,0,4256,3.5,403000,14
232,232,21.0,1680,3,5,5,1,1,1,4,1,2,1,5,6,1,1,288,0,1470,1.5,94500,34
233,233,75.0,10650,0,2,6,1,1,1,4,1,3,1,5,6,0,1,308,0,1788,2.0,128200,34
234,234,60.0,7851,0,5,5,1,1,2,0,1,4,1,8,6,2,2,440,0,2820,3.5,216500,8
235,235,21.0,1680,4,5,3,1,1,1,4,1,2,1,5,6,0,1,264,0,1470,1.5,89500,37
236,236,65.0,8773,0,2,5,1,1,2,0,1,3,1,6,6,0,2,494,0,2828,2.0,185500,6
237,237,60.0,9453,0,5,7,1,1,2,0,1,3,1,7,6,0,2,457,0,2740,2.5,194500,17
238,238,93.0,12030,0,2,5,3,1,2,0,1,3,1,7,6,0,3,818,0,3388,2.0,318000,0
239,239,52.0,8741,0,0,4,1,1,1,4,1,3,1,7,6,1,1,220,0,2222,1.5,113000,65
240,240,75.0,9000,0,2,5,1,1,2,0,1,3,1,7,6,0,2,750,0,3132,3.0,262500,2
241,241,40.0,3880,0,2,9,1,1,1,2,1,2,1,4,6,0,0,0,0,1552,1.0,110500,62
242,242,63.0,5000,0,0,4,1,1,0,2,0,3,1,6,6,0,1,352,0,1980,1.0,79000,106
243,243,75.0,10762,4,5,6,1,1,1,4,1,3,1,6,6,1,1,288,0,1843,1.5,120000,29
244,244,60.0,8880,0,5,5,1,1,2,0,1,3,1,8,6,2,2,463,0,3058,3.5,205000,16
245,245,80.0,10400,0,2,5,1,1,1,2,1,3,1,6,6,1,2,604,0,3717,2.5,241500,18
246,246,69.0,9142,1,5,8,1,1,4,2,0,4,2,9,6,0,1,440,0,2948,2.0,137000,96
247,247,75.0,11310,0,2,5,3,1,1,0,1,2,1,5,6,1,2,451,0,2742,1.0,140000,52
