,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF,TotalBathSum,SalePrice
24,20,3,60.0,8246,1,0,3,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,2,3,2,1,3,3,2,4,0,0,1,3,1,2,6,6,1,4,1,2,1,270,4,2,0,5,2010,4,2120,1,90,2.0,154000
25,20,3,110.0,14230,1,3,3,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,3,2,4,2,2,3,3,5,5,0,1,3,1,2,7,6,1,2,1,1,3,890,4,2,0,7,2009,4,3166,2,56,2.0,256300
26,20,3,60.0,7200,1,3,3,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,2,3,4,1,3,3,2,1,4,4,1,3,1,2,5,6,0,2,5,2,2,576,4,2,0,5,2010,4,1800,1,32,1.5,134800
27,20,3,98.0,11478,1,3,3,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,3,2,4,2,0,3,3,2,5,0,1,3,1,2,7,6,1,2,1,1,3,772,4,2,0,5,2010,4,3408,2,50,3.0,306000
28,20,3,47.0,16321,1,0,3,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,2,3,4,1,3,3,1,1,5,4,1,2,1,3,6,6,2,2,1,1,1,319,4,2,0,12,2006,4,3084,1,258,2.0,207500
29,30,4,60.0,6324,1,0,3,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,2,3,4,0,3,3,3,5,5,1,0,1,1,1,4,6,0,2,5,2,1,240,4,2,0,5,2008,4,1040,1,87,1.0,68500
30,70,0,50.0,8500,1,3,3,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,2,3,1,0,3,3,3,5,5,4,0,3,1,3,6,6,0,2,5,2,1,250,1,0,0,7,2008,4,1966,1,226,1.0,40000
31,20,3,60.0,8544,1,0,3,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,2,3,4,1,3,3,3,5,5,2,1,3,1,2,6,6,0,2,1,2,1,271,4,2,0,6,2008,4,2456,2,65,1.5,149350
32,20,3,85.0,11049,1,3,3,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,2,2,4,2,0,3,0,5,5,0,1,3,1,2,7,6,0,2,1,1,2,484,4,2,0,1,2008,4,2468,2,30,2.0,179900
33,20,3,70.0,10552,1,0,3,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,2,3,4,1,3,3,3,4,5,2,1,4,1,2,6,6,1,2,1,1,2,447,4,2,0,4,2010,4,3098,2,38,2.0,165500
34,120,3,60.0,7313,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,1,0,4,2,0,3,3,2,5,0,1,2,1,0,6,6,1,2,1,0,2,556,4,2,0,8,2007,4,3122,2,47,3.0,277500
35,60,3,108.0,13418,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,3,2,4,2,0,3,0,5,5,0,1,4,1,2,9,6,1,2,3,0,3,691,4,2,0,9,2006,4,3569,4,32,3.5,309000
36,20,3,112.0,10859,1,3,3,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,2,3,4,2,2,3,3,5,5,0,1,3,1,3,6,6,0,2,1,2,2,672,4,2,0,6,2009,4,2194,2,64,1.5,145000
37,20,3,74.0,8532,1,3,3,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,1,3,4,1,3,3,3,4,5,2,1,3,1,3,5,6,1,4,1,0,2,498,4,2,0,10,2009,4,2594,1,0,1.5,153000
38,20,3,68.0,7922,1,3,3,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,2,3,2,1,3,3,3,2,5,4,1,3,1,2,5,6,0,2,5,2,1,246,4,2,0,1,2010,0,2114,1,52,2.0,109000
39,90,3,65.0,6040,1,3,3,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,2,3,4,2,3,3,3,5,5,4,0,2,2,1,6,6,0,2,1,2,0,0,4,0,0,6,2008,1,1152,2,0,2.0,82000
40,20,3,84.0,8658,1,3,3,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,1,3,4,1,3,3,3,4,5,0,1,3,1,3,6,6,1,4,1,1,2,440,4,2,0,12,2006,0,2412,2,138,2.0,160000
41,20,3,115.0,16905,1,3,3,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,2,3,2,1,3,3,1,1,5,2,1,2,1,3,5,6,2,2,1,1,1,308,4,1,0,7,2007,4,2678,2,104,2.0,170000
42,85,3,60.0,9180,1,0,3,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,2,3,4,1,2,3,0,0,3,2,1,2,1,2,5,6,0,2,1,1,2,504,2,2,0,12,2007,4,1724,1,0,2.0,144000
43,20,3,60.0,9200,1,0,3,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,2,3,4,1,2,3,0,3,1,4,1,3,1,3,5,6,0,2,5,2,1,308,4,2,0,7,2008,4,1876,1,0,2.0,130250
44,20,3,70.0,7945,1,3,3,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,2,3,4,1,3,3,3,0,1,0,1,3,1,3,6,6,0,2,1,1,1,300,4,2,0,5,2006,4,2300,1,0,2.0,141000
45,120,3,61.0,7658,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,1,0,4,2,0,3,3,2,5,0,1,2,1,0,6,6,1,2,1,1,2,576,4,2,0,2,2010,4,3504,2,82,3.0,319900
46,50,3,48.0,12822,1,0,3,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,2,2,4,2,0,3,3,2,5,0,1,1,1,2,6,6,1,0,1,1,2,670,4,2,0,8,2009,0,3583,2,241,2.5,239686
47,20,1,84.0,11096,1,3,3,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,2,2,4,2,2,3,0,2,5,0,1,3,1,2,7,6,0,2,1,1,3,826,4,2,0,7,2007,4,3312,2,146,2.0,249700
48,190,4,33.0,4456,1,3,3,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,2,3,4,0,3,3,3,5,5,2,1,2,3,3,8,6,0,2,1,2,0,0,4,0,0,6,2009,5,2188,2,102,2.0,113000
49,20,3,66.0,7742,1,3,3,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,2,3,4,1,3,3,3,1,5,0,1,3,1,3,6,6,0,2,1,2,1,386,4,2,0,1,2007,4,1910,1,0,2.0,127000
50,60,3,60.0,13869,1,1,3,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,2,3,4,2,2,3,0,2,5,2,1,3,1,3,6,6,0,2,1,0,2,388,4,2,0,7,2007,4,2264,2,75,2.5,177000
51,50,4,52.0,6240,1,3,3,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,2,3,4,2,3,3,3,5,5,4,1,3,1,3,6,6,1,2,5,2,2,528,4,2,0,9,2006,4,1632,1,0,1.0,114500
52,90,4,110.0,8472,0,1,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,2,1,4,1,2,3,1,3,2,4,0,2,1,3,5,6,0,2,4,2,2,516,4,2,0,5,2010,4,1632,1,0,2.0,110000
53,20,3,68.0,50271,1,0,2,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,2,2,4,1,0,3,1,2,5,2,1,0,1,2,5,6,1,2,1,0,3,894,4,2,0,11,2006,4,3684,1,72,2.5,385000
54,80,3,60.0,7134,1,3,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,2,3,4,1,3,3,3,0,5,4,1,3,1,3,6,2,1,4,5,2,2,572,4,2,0,2,2007,4,1744,1,50,1.0,130000
55,20,3,100.0,10175,1,0,3,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,1,3,4,1,3,3,3,1,5,2,1,3,1,3,7,6,1,2,1,1,2,576,4,2,0,7,2008,4,2850,2,407,2.0,180500
56,160,1,24.0,2645,1,3,3,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,1,2,4,2,2,3,3,2,5,0,1,3,1,2,7,6,0,2,1,0,2,480,4,2,0,8,2009,0,2709,3,0,3.5,172500
57,60,3,89.0,11645,1,0,3,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,2,2,4,2,2,3,3,5,5,0,1,3,1,2,7,6,0,2,1,1,2,565,4,2,0,8,2006,4,2580,3,70,2.5,196500
58,60,3,66.0,13682,1,1,1,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1,0,4,2,0,3,1,5,5,0,1,3,1,2,10,6,1,2,3,0,3,641,4,2,0,10,2006,5,4355,4,37,3.5,438780
59,20,3,60.0,7200,1,3,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,2,3,4,1,3,3,0,0,5,0,1,2,1,3,4,6,0,2,5,2,1,352,4,2,0,1,2008,4,1560,1,0,1.0,124900
60,20,3,63.0,13072,1,3,3,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,2,3,4,2,2,3,3,0,5,0,1,3,1,2,5,6,0,2,5,2,2,576,4,2,0,5,2006,5,2316,2,50,2.5,158000
61,75,4,60.0,7200,1,3,3,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,2,3,4,0,3,0,3,5,5,4,0,3,1,1,6,6,0,2,5,2,1,288,4,0,0,3,2007,4,1641,1,144,1.0,101000
62,120,3,44.0,6442,1,0,3,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,3,2,4,2,2,1,2,2,5,0,1,2,1,2,6,6,1,2,1,1,2,484,4,2,0,10,2007,4,2740,2,49,2.0,202500
63,70,4,50.0,10300,1,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,2,3,4,0,3,3,3,5,5,2,1,3,1,3,9,6,0,2,5,2,2,480,4,2,0,4,2010,4,2286,2,75,2.0,140000
64,60,3,60.0,9375,1,3,3,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,1,3,4,2,2,3,3,2,5,0,1,3,1,2,8,6,0,2,1,1,2,645,4,2,0,2,2009,4,3091,3,36,3.5,219500
65,60,3,76.0,9591,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,1,2,4,2,0,3,0,5,5,0,1,4,1,2,9,6,1,2,3,1,3,852,4,2,0,10,2007,4,3616,3,151,2.5,317000
66,20,3,60.0,19900,1,3,3,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,1,3,4,1,2,3,1,2,5,4,1,3,1,3,7,2,1,2,1,1,2,576,4,2,0,7,2010,4,4154,2,0,3.0,180000
67,20,3,72.0,10665,1,0,3,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,1,2,4,2,2,3,0,2,5,0,1,3,1,2,7,6,0,2,1,1,2,558,4,2,0,6,2007,4,2932,2,29,3.0,226000
68,30,4,47.0,4608,1,3,3,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,2,2,3,2,1,3,3,3,5,5,4,1,2,1,3,4,6,0,2,1,2,1,220,4,2,0,6,2010,4,1494,1,0,1.0,80000
69,50,3,81.0,15593,1,3,3,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,2,2,4,1,3,3,3,1,5,4,1,3,1,3,7,6,1,4,1,0,2,667,4,2,0,7,2006,4,3591,2,135,2.0,225000
70,20,3,95.0,13651,1,0,3,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1,3,2,1,2,3,1,0,5,0,1,3,1,3,8,6,2,2,1,0,2,516,4,2,0,2,2007,4,4446,2,0,3.0,244000
71,20,3,69.0,7599,1,3,3,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,2,2,3,4,1,3,3,3,0,5,4,1,2,1,3,4,6,0,2,5,2,2,360,4,2,0,6,2007,4,1690,1,0,2.0,129500
72,60,3,74.0,10141,1,0,3,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,1,3,4,2,2,3,3,5,5,2,1,3,1,3,7,6,1,4,1,0,2,427,4,2,0,12,2009,4,2550,3,385,2.5,185000
73,20,3,85.0,10200,1,3,3,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,1,3,4,1,3,3,3,0,1,2,1,3,1,3,6,6,0,2,1,2,2,490,4,2,0,5,2010,4,2172,1,0,2.0,144900
74,50,4,60.0,5790,1,3,3,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,2,2,2,2,1,1,3,3,5,5,2,0,3,2,3,8,6,0,2,5,2,1,379,4,2,0,5,2010,4,2445,2,202,2.0,107400
75,180,4,21.0,1596,1,3,3,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,2,2,3,4,1,2,3,1,2,5,4,1,2,1,3,5,6,0,2,3,2,1,297,4,2,0,11,2009,4,1450,1,101,2.0,91000
76,20,3,60.0,8475,1,0,3,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,2,2,3,4,1,3,3,3,0,5,0,1,2,1,3,4,6,0,2,5,2,1,283,4,2,0,4,2008,4,1904,1,0,1.0,135750
77,50,4,50.0,8635,1,3,3,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,2,2,3,4,1,3,3,3,1,2,4,1,2,1,3,6,2,0,2,5,2,1,240,4,2,0,1,2008,4,1957,1,0,2.0,127000
78,90,3,72.0,10778,1,3,3,4,0,19,2,2,2,2,4,5,1968,1968,3,1,6,6,2,2,3,4,1,3,3,3,5,5,4,0,4,2,3,8,6,0,2,1,2,0,0,4,2,0,4,2010,4,3536,2,0,2.0,136500
79,50,4,60.0,10440,1,3,3,0,0,17,2,2,0,5,5,6,1910,1981,1,1,13,14,2,2,3,4,2,3,3,3,5,5,2,1,2,1,3,5,6,0,2,5,2,2,440,4,2,0,5,2009,4,1670,2,128,1.5,110000
80,60,3,100.0,13000,1,3,3,0,0,12,2,2,0,5,6,6,1968,1968,1,1,12,13,1,1,3,2,1,2,3,3,4,5,4,1,4,1,2,8,6,1,2,1,0,1,509,4,2,0,6,2009,4,3038,3,324,2.5,193500
81,120,4,32.0,4500,1,3,3,2,0,11,2,2,4,2,6,5,1998,1998,3,1,12,13,1,1,3,2,2,0,1,3,2,5,0,1,2,1,3,5,6,0,2,1,0,2,405,4,2,0,3,2006,4,2574,2,199,3.0,153500
82,20,3,78.0,10206,1,3,3,4,0,21,2,2,0,2,8,5,2007,2007,1,1,12,13,3,3,3,4,2,2,3,3,2,5,0,1,3,1,2,6,6,1,2,1,1,3,758,4,2,0,10,2008,4,3126,2,99,2.0,245000
83,20,3,80.0,8892,1,0,3,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,0,0,3,4,1,3,3,3,5,5,2,1,3,1,3,6,6,0,2,5,2,2,461,4,2,0,7,2007,4,2130,2,0,1.5,126500
84,80,3,60.0,8530,1,0,3,4,0,8,2,2,0,7,7,5,1995,1996,1,1,6,6,1,1,3,4,2,2,3,3,5,5,2,1,3,1,3,7,6,1,4,3,0,2,400,4,2,0,5,2009,4,1858,3,72,2.5,168500
85,60,3,121.0,16059,1,3,3,0,0,15,2,2,0,5,8,5,1991,1992,3,1,6,6,1,1,2,4,1,2,3,3,5,5,0,1,4,1,2,9,6,1,4,1,2,2,462,4,2,0,4,2006,4,3705,3,82,2.5,260000
86,60,3,122.0,11911,1,1,3,4,0,8,2,2,0,5,6,5,2005,2005,1,1,12,13,2,2,2,4,2,2,3,0,5,5,0,1,3,1,2,6,6,1,2,3,0,2,400,4,2,0,3,2009,4,2244,3,38,2.5,174000
87,160,1,40.0,3951,1,3,3,0,0,21,2,2,4,5,6,5,2009,2009,1,1,12,13,3,3,2,4,2,2,3,0,5,5,0,1,2,1,2,4,6,0,2,5,1,2,528,4,2,0,6,2009,5,1836,3,234,2.5,164500
88,50,0,105.0,8470,1,0,3,0,0,9,1,1,0,0,3,2,1915,1982,3,1,9,10,2,2,1,1,1,3,0,3,5,5,4,0,2,1,1,6,6,0,2,1,2,0,0,4,0,0,10,2009,0,2026,1,156,1.0,85000
89,20,3,60.0,8070,1,3,3,4,0,5,2,2,0,2,4,5,1994,1995,1,1,12,13,2,2,3,4,2,2,3,3,2,5,0,1,3,1,3,5,6,0,2,1,2,0,0,4,2,0,8,2007,4,1980,1,0,2.0,123600
90,20,3,60.0,7200,1,3,3,4,0,12,2,2,0,2,4,5,1950,1950,1,1,3,14,2,2,3,4,3,3,3,3,5,5,4,1,2,1,3,4,6,0,2,5,2,2,420,4,2,0,7,2006,4,1040,1,29,1.0,109900
91,20,3,85.0,8500,1,3,3,4,0,12,2,2,0,2,5,3,1961,1961,3,1,6,6,0,0,3,4,1,3,3,3,4,5,4,1,2,1,3,6,6,0,2,1,2,2,480,4,2,0,12,2006,0,2470,1,0,1.0,98600
92,30,3,80.0,13360,1,0,1,4,0,6,2,2,0,2,5,7,1921,2006,1,1,13,14,2,2,3,2,0,2,3,3,0,5,0,1,2,1,3,5,6,0,2,5,2,2,432,4,2,0,8,2009,4,1840,1,44,2.0,163500
93,190,0,60.0,7200,1,3,3,0,0,17,2,2,1,4,6,6,1910,1998,3,1,8,8,2,2,3,4,0,3,0,2,4,5,0,0,4,2,3,9,6,1,2,5,2,2,506,4,2,0,11,2007,4,3505,2,99,2.5,133900
94,60,3,69.0,9337,1,0,3,4,0,5,2,2,0,5,6,5,1997,1997,1,1,12,13,2,2,3,2,2,2,3,3,2,5,0,1,3,1,2,7,6,0,2,1,1,2,684,4,2,0,5,2007,4,2610,3,162,3.5,204750
95,60,3,60.0,9765,1,1,3,0,0,8,2,2,0,5,6,8,1993,1993,1,1,12,13,1,1,0,2,2,2,1,3,0,5,2,1,3,1,3,6,6,1,4,3,0,2,420,4,2,0,4,2009,4,2150,3,63,2.5,185000
96,20,3,78.0,10264,1,0,3,4,0,5,2,2,0,2,7,5,1999,1999,1,1,12,13,1,1,2,4,2,2,3,0,0,5,0,1,3,1,2,6,6,0,2,1,1,2,472,4,2,0,8,2006,4,3176,2,29,2.0,214000
97,20,3,73.0,10921,1,3,1,4,0,7,2,2,0,2,4,5,1965,1965,3,1,6,6,1,1,3,4,1,3,3,3,4,5,4,1,3,1,3,6,6,0,2,1,0,1,432,4,1,0,5,2007,4,1920,1,0,2.0,94750
98,30,3,85.0,10625,1,3,3,0,0,7,2,2,0,2,5,5,1920,1950,1,1,13,14,2,2,3,4,0,3,3,3,0,5,1,0,2,1,3,5,6,0,2,2,2,1,366,4,2,0,5,2010,0,1293,1,77,1.0,83000
99,20,3,77.0,9320,1,0,3,4,0,12,2,2,0,2,4,5,1959,1959,1,1,9,10,2,2,3,4,1,3,3,3,0,5,1,1,3,1,3,6,6,0,2,1,2,0,0,4,2,0,1,2010,4,2175,2,0,2.5,128950
100,20,3,60.0,10603,1,0,3,4,0,14,2,2,0,2,6,7,1977,2001,1,1,9,10,1,1,3,4,2,3,3,2,0,5,2,1,3,1,2,6,6,2,4,1,1,2,480,4,2,0,2,2010,4,3220,2,68,3.0,205000
101,60,3,77.0,9206,1,3,3,4,0,20,2,2,0,5,6,5,1985,1985,1,1,6,6,1,1,2,4,1,2,3,3,5,5,4,1,3,1,2,7,6,1,4,1,0,2,476,4,2,0,6,2010,4,2473,3,46,2.5,178000
102,90,3,64.0,7018,1,3,0,4,0,20,2,2,2,2,5,5,1979,1979,1,1,6,6,2,2,3,1,3,3,3,3,5,5,4,1,4,2,3,8,6,0,2,1,2,2,410,4,2,0,6,2009,2,1535,2,0,2.0,118964
103,20,3,94.0,10402,1,0,3,0,0,5,2,2,0,2,7,5,2009,2009,1,1,12,13,2,2,3,4,2,2,3,3,5,5,0,1,3,1,2,6,6,0,2,1,1,3,740,4,2,0,5,2010,4,2452,2,36,2.0,198900
104,50,4,60.0,7758,1,3,3,0,0,9,2,2,0,0,7,4,1931,1950,1,1,11,12,1,1,3,1,2,3,3,3,3,5,0,1,4,1,3,7,6,2,4,5,2,1,240,4,2,0,6,2007,4,2858,2,184,1.5,169500
105,60,1,75.0,9375,1,3,3,4,0,21,2,2,0,5,8,5,2003,2004,3,1,12,13,1,1,2,4,2,0,3,3,5,5,0,1,3,1,2,9,6,1,2,1,1,2,648,4,2,0,8,2008,4,3045,3,45,2.5,250000
