,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF
10,20,RL,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,3,1,TA,5,Typ,0,,Detchd,Unf,1,384,TA,Y,0,2,2008,Normal,2080,2.0,0
11,60,RL,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,Y,0,7,2006,Partial,3499,4.0,168
12,20,RL,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,2,1,TA,4,Typ,0,,Detchd,Unf,1,352,TA,Y,0,9,2008,Normal,1824,2.0,316
13,20,RL,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,Y,0,8,2007,Partial,2988,2.0,193
14,20,RL,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,Y,0,5,2008,Normal,2506,2.5,389
15,45,RM,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,2,1,TA,5,Typ,0,,Detchd,Unf,2,576,TA,Y,0,7,2007,Normal,1686,1.0,160
16,20,RL,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,Y,0,3,2010,Normal,2008,2.0,0
17,90,RL,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,,TA,Y,2,2,TA,6,Typ,0,,CarPort,Unf,2,516,TA,Y,0,10,2006,Normal,1296,2.0,0
18,20,RL,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,6,Typ,0,,Detchd,Unf,2,576,TA,Y,0,6,2008,Normal,2228,2.5,102
19,20,RL,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,TA,Y,3,1,TA,6,Min1,0,,Attchd,Unf,1,294,TA,Y,0,5,2009,Abnorml,2368,1.0,0
20,60,RL,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,Y,0,11,2006,Partial,3534,3.5,394
21,45,RM,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,Ex,Y,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,N,0,6,2007,Normal,1745,1.0,205
22,20,RL,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,Y,0,9,2008,Normal,3572,2.0,330
23,120,RM,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,TA,Y,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,Y,0,6,2007,Normal,2100,2.0,210
24,20,RL,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,Ex,Y,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,Y,0,5,2010,Normal,2120,2.0,496
25,20,RL,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,Y,0,7,2009,Normal,3166,2.0,56
26,20,RL,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,TA,Y,3,1,Gd,5,Typ,0,,Detchd,Unf,2,576,TA,Y,0,5,2010,Normal,1800,1.5,254
27,20,RL,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,Y,0,5,2010,Normal,3408,3.0,50
28,20,RL,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,TA,Y,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,Y,0,12,2006,Normal,3084,2.0,546
29,30,RM,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Fa,N,1,1,Fa,4,Typ,0,,Detchd,Unf,1,240,TA,Y,0,5,2008,Normal,1040,1.0,136
30,70,C (all),8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,TA,N,3,1,TA,6,Typ,0,,Detchd,Unf,1,250,Fa,N,0,7,2008,Normal,1966,1.0,226
31,20,RL,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,Gd,Y,3,1,Gd,6,Typ,0,,Attchd,Unf,1,271,TA,Y,0,6,2008,Normal,2456,1.5,65
32,20,RL,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,RFn,2,484,TA,Y,0,1,2008,Normal,2468,2.0,30
33,20,RL,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,Y,0,4,2010,Normal,3098,2.0,38
34,120,RL,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,Y,0,8,2007,Normal,3122,3.0,250
35,60,RL,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,Y,0,9,2006,Normal,3569,3.5,145
36,20,RL,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,TA,6,Typ,0,,Attchd,Unf,2,672,TA,Y,0,6,2009,Normal,2194,1.5,456
37,20,RL,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,Y,0,10,2009,Normal,2594,1.5,0
38,20,RL,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,TA,Y,3,1,Gd,5,Typ,0,,Detchd,Unf,1,246,TA,Y,0,1,2010,Abnorml,2114,2.0,52
39,90,RL,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,,,,,,TA,N,2,2,Fa,6,Typ,0,,,,0,0,,N,0,6,2008,AdjLand,1152,2.0,0
40,20,RL,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,Y,0,12,2006,Abnorml,2412,2.0,138
41,20,RL,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,Gd,Y,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,P,0,7,2007,Normal,2678,2.0,104
42,85,RL,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,Gd,Y,2,1,Gd,5,Typ,0,,Attchd,RFn,2,504,Gd,Y,0,12,2007,Normal,1724,2.0,240
43,20,RL,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,TA,Y,3,1,TA,5,Typ,0,,Detchd,Unf,1,308,TA,Y,0,7,2008,Normal,1876,2.0,145
44,20,RL,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,Ex,Y,3,1,TA,6,Typ,0,,Attchd,RFn,1,300,TA,Y,0,5,2006,Normal,2300,2.0,0
45,120,RL,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,Y,0,2,2010,Normal,3504,3.0,278
46,50,RL,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,Y,0,8,2009,Abnorml,3583,2.5,409
47,20,FV,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,RFn,3,826,TA,Y,0,7,2007,Normal,3312,2.0,146
48,190,RM,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,2,3,TA,8,Typ,0,,,,0,0,,N,0,6,2009,Partial,2188,2.0,102
49,20,RL,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,3,1,TA,6,Typ,0,,Attchd,Unf,1,386,TA,Y,0,1,2007,Normal,1910,2.0,0
50,60,RL,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,Gd,Y,3,1,TA,6,Typ,0,,Attchd,Fin,2,388,TA,Y,0,7,2007,Normal,2264,2.5,75
51,50,RM,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,Y,0,9,2006,Normal,1992,1.0,112
52,90,RM,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,TA,N,2,1,TA,5,Typ,0,,CarPort,Unf,2,516,TA,Y,0,5,2010,Normal,1632,2.0,106
53,20,RL,50271,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,Gd,Y,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,Y,0,11,2006,Normal,3684,2.5,929
54,80,RL,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,3,1,TA,6,Min1,1,TA,Detchd,Unf,2,572,TA,Y,0,2,2007,Normal,1744,1.0,50
55,20,RL,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Gd,Y,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,Y,0,7,2008,Normal,2850,2.0,407
56,160,FV,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,Fin,2,480,TA,Y,0,8,2009,Abnorml,2709,3.5,115
57,60,RL,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,RFn,2,565,TA,Y,0,8,2006,Normal,2580,2.5,70
58,60,RL,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,Ex,Y,3,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,641,TA,Y,0,10,2006,Partial,4355,3.5,229
59,20,RL,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,Ex,Y,2,1,TA,4,Typ,0,,Detchd,Unf,1,352,TA,Y,0,1,2008,Normal,1560,1.0,196
60,20,RL,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,Ex,Y,3,1,Gd,5,Typ,0,,Detchd,Unf,2,576,TA,Y,0,5,2006,Partial,2316,2.5,50
61,75,RM,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,TA,N,3,1,Fa,6,Typ,0,,Detchd,Unf,1,288,TA,N,0,3,2007,Normal,1641,1.0,144
62,120,RL,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,Ex,Y,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,484,TA,Y,0,10,2007,Normal,2740,2.0,169
63,70,RM,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,3,1,TA,9,Typ,0,,Detchd,Unf,2,480,TA,Y,0,4,2010,Normal,2286,2.0,87
64,60,RL,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,8,Typ,0,,Attchd,RFn,2,645,TA,Y,0,2,2009,Normal,3091,3.5,612
65,60,RL,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,852,TA,Y,0,10,2007,Normal,3616,2.5,343
66,20,RL,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,TA,Y,3,1,TA,7,Min1,1,Gd,Attchd,RFn,2,576,TA,Y,0,7,2010,Normal,4154,3.0,301
67,20,RL,10665,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,RFn,2,558,TA,Y,0,6,2007,Normal,2932,3.0,173
68,30,RM,4608,Pave,Reg,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,TA,Y,2,1,TA,4,Typ,0,,Attchd,Unf,1,220,TA,Y,0,6,2010,Normal,1494,1.0,0
69,50,RL,15593,Pave,Reg,Lvl,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,3,1,TA,7,Typ,1,TA,Attchd,Fin,2,667,TA,Y,0,7,2006,Normal,3591,2.0,135
70,20,RL,13651,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,Ex,Y,3,1,TA,8,Typ,2,Gd,Attchd,Fin,2,516,TA,Y,0,2,2007,Normal,4446,3.0,300
