,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF,TotalBathSum,SalePrice
10,20,RL,70.0,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,3,1,TA,5,Typ,0,Gd,Detchd,Unf,1,384,TA,Y,0,2,2008,Normal,2080,1,0,2.0,129500
11,60,RL,85.0,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,Y,0,7,2006,Partial,3499,3,21,4.0,345000
12,20,RL,60.0,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,2,1,TA,4,Typ,0,Gd,Detchd,Unf,1,352,TA,Y,0,9,2008,Normal,1824,1,176,2.0,144000
13,20,RL,91.0,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,Y,0,8,2007,Partial,2988,2,33,2.0,279500
14,20,RL,60.0,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,Y,0,5,2008,Normal,2506,2,389,2.5,157000
15,45,RM,51.0,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,2,1,TA,5,Typ,0,Gd,Detchd,Unf,2,576,TA,Y,0,7,2007,Normal,1686,1,112,1.0,132000
16,20,RL,60.0,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,Y,0,3,2010,Normal,2008,1,0,2.0,149000
17,90,RL,72.0,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,Slab,TA,TA,No,Unf,Unf,TA,Y,2,2,TA,6,Typ,0,Gd,CarPort,Unf,2,516,TA,Y,0,10,2006,Normal,1296,2,0,2.0,90000
18,20,RL,66.0,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,6,Typ,0,Gd,Detchd,Unf,2,576,TA,Y,0,6,2008,Normal,2228,2,102,2.5,159000
19,20,RL,70.0,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,TA,Y,3,1,TA,6,Min1,0,Gd,Attchd,Unf,1,294,TA,Y,0,5,2009,Abnorml,2368,1,0,1.0,139000
20,60,RL,101.0,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,Y,0,11,2006,Partial,3534,4,154,3.5,325300
21,45,RM,57.0,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,None,TA,TA,PConc,TA,TA,No,Unf,Unf,Ex,Y,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,N,0,6,2007,Normal,1745,1,205,1.0,139400
22,20,RL,75.0,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,Y,0,9,2008,Normal,3572,2,159,2.0,230000
23,120,RM,44.0,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,TA,Y,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,Y,0,6,2007,Normal,2100,1,110,2.0,129900
24,20,RL,60.0,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,Ex,Y,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,Y,0,5,2010,Normal,2120,1,90,2.0,154000
25,20,RL,110.0,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,Y,0,7,2009,Normal,3166,2,56,2.0,256300
26,20,RL,60.0,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,TA,Y,3,1,Gd,5,Typ,0,Gd,Detchd,Unf,2,576,TA,Y,0,5,2010,Normal,1800,1,32,1.5,134800
27,20,RL,98.0,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,Y,0,5,2010,Normal,3408,2,50,3.0,306000
28,20,RL,47.0,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,TA,Y,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,Y,0,12,2006,Normal,3084,1,258,2.0,207500
29,30,RM,60.0,6324,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Fa,N,1,1,Fa,4,Typ,0,Gd,Detchd,Unf,1,240,TA,Y,0,5,2008,Normal,1040,1,87,1.0,68500
30,70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,TA,N,3,1,TA,6,Typ,0,Gd,Detchd,Unf,1,250,Fa,N,0,7,2008,Normal,1966,1,226,1.0,40000
31,20,RL,60.0,8544,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,Gd,Y,3,1,Gd,6,Typ,0,Gd,Attchd,Unf,1,271,TA,Y,0,6,2008,Normal,2456,2,65,1.5,149350
32,20,RL,85.0,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,0,Gd,Attchd,RFn,2,484,TA,Y,0,1,2008,Normal,2468,2,30,2.0,179900
33,20,RL,70.0,10552,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,Y,0,4,2010,Normal,3098,2,38,2.0,165500
34,120,RL,60.0,7313,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,Y,0,8,2007,Normal,3122,2,47,3.0,277500
35,60,RL,108.0,13418,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,Y,0,9,2006,Normal,3569,4,32,3.5,309000
36,20,RL,112.0,10859,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,TA,6,Typ,0,Gd,Attchd,Unf,2,672,TA,Y,0,6,2009,Normal,2194,2,64,1.5,145000
37,20,RL,74.0,8532,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,Y,0,10,2009,Normal,2594,1,0,1.5,153000
38,20,RL,68.0,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,TA,Y,3,1,Gd,5,Typ,0,Gd,Detchd,Unf,1,246,TA,Y,0,1,2010,Abnorml,2114,1,52,2.0,109000
39,90,RL,65.0,6040,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,None,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,N,2,2,Fa,6,Typ,0,Gd,Attchd,Unf,0,0,TA,N,0,6,2008,AdjLand,1152,2,0,2.0,82000
40,20,RL,84.0,8658,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,Y,0,12,2006,Abnorml,2412,2,138,2.0,160000
41,20,RL,115.0,16905,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,Gd,Y,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,P,0,7,2007,Normal,2678,2,104,2.0,170000
42,85,RL,60.0,9180,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,Gd,Y,2,1,Gd,5,Typ,0,Gd,Attchd,RFn,2,504,Gd,Y,0,12,2007,Normal,1724,1,0,2.0,144000
43,20,RL,60.0,9200,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,TA,Y,3,1,TA,5,Typ,0,Gd,Detchd,Unf,1,308,TA,Y,0,7,2008,Normal,1876,1,0,2.0,130250
44,20,RL,70.0,7945,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,Ex,Y,3,1,TA,6,Typ,0,Gd,Attchd,RFn,1,300,TA,Y,0,5,2006,Normal,2300,1,0,2.0,141000
45,120,RL,61.0,7658,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,Y,0,2,2010,Normal,3504,2,82,3.0,319900
46,50,RL,48.0,12822,Pave,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,Y,0,8,2009,Abnorml,3583,2,241,2.5,239686
47,20,FV,84.0,11096,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,Gd,Attchd,RFn,3,826,TA,Y,0,7,2007,Normal,3312,2,146,2.0,249700
48,190,RM,33.0,4456,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,2,3,TA,8,Typ,0,Gd,Attchd,Unf,0,0,TA,N,0,6,2009,Partial,2188,2,102,2.0,113000
49,20,RL,66.0,7742,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,3,1,TA,6,Typ,0,Gd,Attchd,Unf,1,386,TA,Y,0,1,2007,Normal,1910,1,0,2.0,127000
50,60,RL,60.0,13869,Pave,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,Gd,Y,3,1,TA,6,Typ,0,Gd,Attchd,Fin,2,388,TA,Y,0,7,2007,Normal,2264,2,75,2.5,177000
51,50,RM,52.0,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,None,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,Y,0,9,2006,Normal,1632,1,0,1.0,114500
52,90,RM,110.0,8472,Grvl,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,TA,N,2,1,TA,5,Typ,0,Gd,CarPort,Unf,2,516,TA,Y,0,5,2010,Normal,1632,1,0,2.0,110000
53,20,RL,68.0,50271,Pave,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,Gd,Y,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,Y,0,11,2006,Normal,3684,1,72,2.5,385000
54,80,RL,60.0,7134,Pave,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,3,1,TA,6,Min1,1,TA,Detchd,Unf,2,572,TA,Y,0,2,2007,Normal,1744,1,50,1.0,130000
55,20,RL,100.0,10175,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Gd,Y,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,Y,0,7,2008,Normal,2850,2,407,2.0,180500
56,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,Gd,Attchd,Fin,2,480,TA,Y,0,8,2009,Abnorml,2709,3,0,3.5,172500
57,60,RL,89.0,11645,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,0,Gd,Attchd,RFn,2,565,TA,Y,0,8,2006,Normal,2580,3,70,2.5,196500
58,60,RL,66.0,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,Ex,Y,3,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,641,TA,Y,0,10,2006,Partial,4355,4,37,3.5,438780
59,20,RL,60.0,7200,Pave,Reg,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,None,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,Ex,Y,2,1,TA,4,Typ,0,Gd,Detchd,Unf,1,352,TA,Y,0,1,2008,Normal,1560,1,0,1.0,124900
60,20,RL,63.0,13072,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,Ex,Y,3,1,Gd,5,Typ,0,Gd,Detchd,Unf,2,576,TA,Y,0,5,2006,Partial,2316,2,50,2.5,158000
61,75,RM,60.0,7200,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,TA,N,3,1,Fa,6,Typ,0,Gd,Detchd,Unf,1,288,TA,N,0,3,2007,Normal,1641,1,144,1.0,101000
62,120,RL,44.0,6442,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,Ex,Y,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,484,TA,Y,0,10,2007,Normal,2740,2,49,2.0,202500
63,70,RM,50.0,10300,Pave,IR1,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,3,1,TA,9,Typ,0,Gd,Detchd,Unf,2,480,TA,Y,0,4,2010,Normal,2286,2,75,2.0,140000
64,60,RL,60.0,9375,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,8,Typ,0,Gd,Attchd,RFn,2,645,TA,Y,0,2,2009,Normal,3091,3,36,3.5,219500
65,60,RL,76.0,9591,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,852,TA,Y,0,10,2007,Normal,3616,3,151,2.5,317000
66,20,RL,60.0,19900,Pave,Reg,Lvl,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,TA,Y,3,1,TA,7,Min1,1,Gd,Attchd,RFn,2,576,TA,Y,0,7,2010,Normal,4154,2,0,3.0,180000
